epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5163,1.98362,3.70082,2.15576,0.00337,0.75,0.03278,0.00597,2.68071,4.82262,3.03945,2.5e-05,2.5e-05,2.5e-05
2,50.3838,1.7789,3.62916,2.11039,0.0041,0.875,0.0086,0.004,2.7189,4.80607,2.98836,6.12625e-05,6.12625e-05,6.12625e-05
3,71.2173,1.72467,3.49942,2.03144,0.00448,0.875,0.04616,0.01061,2.62241,4.65482,3.15179,9.604e-05,9.604e-05,9.604e-05
4,91.9697,1.59398,3.34625,1.99691,0.00573,0.875,0.07125,0.03168,2.48593,4.68472,2.90346,0.000129332,0.000129332,0.000129332
5,112.714,1.53282,3.35838,1.98139,0.00341,0.75,0.13461,0.04104,2.62578,4.80704,2.98376,0.00016114,0.00016114,0.00016114
6,133.44,1.42541,2.93085,1.84876,0.00395,0.75,0.25619,0.07565,2.80001,4.76338,3.22901,0.000191463,0.000191463,0.000191463
7,154.013,1.59183,2.9746,1.84127,0.0047,0.625,0.25098,0.07587,2.61273,4.76285,2.99148,0.0002203,0.0002203,0.0002203
8,174.747,1.45787,2.87031,1.798,0.00692,0.625,0.25468,0.10078,2.68131,4.77535,3.02345,0.000247653,0.000247653,0.000247653
9,196.779,1.39994,2.66965,1.78331,0.00929,0.625,0.10271,0.03334,2.75961,4.7234,2.98982,0.00027352,0.00027352,0.00027352
10,217.525,1.61286,2.76082,1.90816,0.01283,0.625,0.06678,0.02594,2.69127,4.54889,3.04696,0.000297903,0.000297903,0.000297903
11,238.105,1.44872,2.58904,1.79712,0.01124,0.5,0.06354,0.02404,2.63886,4.60732,2.98377,0.0003208,0.0003208,0.0003208
12,258.622,1.50887,2.69455,1.8293,0.00899,0.5,0.12599,0.0392,2.72903,4.34507,2.96093,0.000342213,0.000342213,0.000342213
13,279.762,1.39429,2.46307,1.74854,0.00376,0.5,0.26184,0.08436,2.63503,4.87996,2.92117,0.00036214,0.00036214,0.00036214
14,300.539,1.34983,2.27412,1.6872,0.00382,0.625,0.27192,0.08401,2.79216,4.63648,3.03956,0.000380582,0.000380582,0.000380582
15,321.112,1.33106,2.35041,1.70868,0.00501,0.625,0.29273,0.10612,2.81935,4.914,3.02696,0.00039754,0.00039754,0.00039754
16,341.515,1.30757,2.08942,1.62092,0.00479,0.625,0.08623,0.03383,2.97101,4.84734,2.98716,0.000413012,0.000413012,0.000413012
17,362.14,1.27231,2.29071,1.71067,0.00322,0.5,0.02305,0.00825,2.96601,5.01527,3.08624,0.000427,0.000427,0.000427
18,382.648,1.26851,2.12084,1.62786,0.0029,0.5,0.00718,0.00281,3.16658,5.0715,3.15294,0.000439502,0.000439502,0.000439502
19,403.078,1.36116,2.30061,1.74522,0.00388,0.625,0.01291,0.00429,2.9866,4.88279,3.14144,0.00045052,0.00045052,0.00045052
20,423.494,1.26062,2.08341,1.61683,0.0038,0.625,0.01192,0.00332,2.80446,4.80822,3.21814,0.000460053,0.000460053,0.000460053
21,444.127,1.20754,1.94977,1.62223,0.00417,0.625,0.02794,0.008,2.24241,4.49042,2.83048,0.0004681,0.0004681,0.0004681
22,464.472,1.31373,1.98992,1.66068,0.00452,0.75,0.04208,0.01698,1.69454,4.43968,2.46282,0.000474663,0.000474663,0.000474663
23,485.684,1.15429,1.98762,1.52844,0.00598,0.875,0.06257,0.02649,1.79468,4.27563,2.6015,0.00047974,0.00047974,0.00047974
24,506.791,1.22138,1.93398,1.56678,0.00702,1,0.09694,0.04017,2.10963,3.8927,2.78003,0.000483333,0.000483333,0.000483333
25,527.989,1.19554,1.82724,1.57536,0.51489,0.375,0.11297,0.03036,2.04902,3.89038,2.71496,0.00048544,0.00048544,0.00048544
26,548.482,1.31286,1.83901,1.6296,0.61147,0.22294,0.15818,0.03482,2.05921,3.83332,2.60232,0.000486063,0.000486063,0.000486063
27,568.88,1.06335,1.55339,1.46901,0.57496,0.375,0.15914,0.03274,2.00955,4.04234,2.56134,0.0004852,0.0004852,0.0004852
28,589.072,1.12698,1.83373,1.52605,0.52635,0.125,0.11896,0.03522,2.04487,4.27379,2.58198,0.000482852,0.000482852,0.000482852
29,608.301,1.15841,1.62078,1.54602,0.52635,0.125,0.11896,0.03522,2.04487,4.27379,2.58198,0.00047902,0.00047902,0.00047902
30,627.431,1.12923,1.69863,1.51731,0.62898,0.31669,0.22592,0.06709,1.91374,4.04347,2.55591,0.000473703,0.000473703,0.000473703
31,646.427,1.00669,1.52888,1.42494,0.67276,0.34642,0.21776,0.06582,1.8481,3.86658,2.45834,0.0004669,0.0004669,0.0004669
32,665.877,1.03609,1.49621,1.45282,0.69625,0.375,0.21488,0.07596,1.81581,3.74312,2.51185,0.000458613,0.000458613,0.000458613
33,684.878,1.14989,1.7638,1.52185,0.69625,0.375,0.21488,0.07596,1.81581,3.74312,2.51185,0.00044884,0.00044884,0.00044884
34,703.861,1.10734,1.61744,1.54447,0.68774,0.375,0.28314,0.10406,1.83709,3.6458,2.42491,0.00043325,0.00043325,0.00043325
35,722.837,1.14737,1.60726,1.54532,0.6133,0.375,0.25306,0.11345,1.95573,3.68011,2.5709,0.0004085,0.0004085,0.0004085
36,741.925,1.09166,1.49023,1.41437,0.61774,0.375,0.2379,0.08419,1.99035,3.75013,2.69392,0.00038375,0.00038375,0.00038375
37,761.008,0.99564,1.49506,1.40943,0.61774,0.375,0.2379,0.08419,1.99035,3.75013,2.69392,0.000359,0.000359,0.000359
38,780.05,1.01961,1.46068,1.4191,0.62169,0.375,0.22812,0.0725,2.16336,4.05568,2.73048,0.00033425,0.00033425,0.00033425
39,799.315,1.0965,1.6163,1.54924,0.62436,0.375,0.22179,0.06741,2.14435,3.83766,2.71506,0.0003095,0.0003095,0.0003095
40,818.402,1.07691,1.57211,1.48816,0.63378,0.375,0.22206,0.09718,2.1533,3.72373,2.55657,0.00028475,0.00028475,0.00028475
41,837.339,0.97115,2.04957,1.54759,0.63378,0.375,0.22206,0.09718,2.1533,3.72373,2.55657,0.00026,0.00026,0.00026
42,856.199,0.83577,1.82964,1.39709,0.65207,0.375,0.2682,0.13445,2.1662,3.87375,2.59779,0.00023525,0.00023525,0.00023525
43,875.436,1.04962,2.07617,1.60003,0.66756,0.32658,0.23611,0.12869,2.26861,3.89526,2.63703,0.0002105,0.0002105,0.0002105
44,894.346,0.87529,1.74857,1.44703,0.68107,0.375,0.34091,0.17183,2.23444,3.91681,2.69045,0.00018575,0.00018575,0.00018575
45,913.26,0.83969,1.79923,1.43029,0.68107,0.375,0.34091,0.17183,2.23444,3.91681,2.69045,0.000161,0.000161,0.000161
46,933.656,0.81812,1.59341,1.36149,0.71989,0.375,0.33225,0.15061,2.14556,3.82861,2.65763,0.00013625,0.00013625,0.00013625
47,961.626,0.8189,1.57914,1.37123,0.7351,0.375,0.29938,0.13727,2.10693,3.75118,2.65185,0.0001115,0.0001115,0.0001115
48,987.98,0.91717,1.76811,1.51599,0.763,0.375,0.28064,0.12936,2.10615,3.76703,2.63494,8.675e-05,8.675e-05,8.675e-05
49,1012.03,0.83794,1.67968,1.38218,0.763,0.375,0.28064,0.12936,2.10615,3.76703,2.63494,6.2e-05,6.2e-05,6.2e-05
50,1035.78,0.75016,1.54698,1.37694,0.796,0.375,0.26666,0.12094,2.08501,3.71987,2.62427,3.725e-05,3.725e-05,3.725e-05
